uuid,division,majorGroup,activity_name,knowledge_flows,tacit_knowledge_types,technologies
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,Big Data
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,Big Data
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,AI
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,Big Data
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,AI
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,Big Data
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Intellectual Tacit Knowledge,AI
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Intellectual Tacit Knowledge,Big Data
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,Big Data
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Intellectual Tacit Knowledge,AI
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Intellectual Tacit Knowledge,Big Data
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,AI
99a7d6f0-21fa-49aa-806c-0b115dc43eb7,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,Big Data
f3086762-6a34-4349-8295-4158aba5f439,"A. Division A: Agriculture, Forestry, And Fishing",Major Group 08: Forestry,Communities of practice,,,AI
f3086762-6a34-4349-8295-4158aba5f439,"A. Division A: Agriculture, Forestry, And Fishing",Major Group 08: Forestry,Communities of practice,,,Big Data
85f4a561-760d-4270-9fd5-7d8849a00833,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,,AI
85f4a561-760d-4270-9fd5-7d8849a00833,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,,AI
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Socialization,Somatic Tacit Knowledge,Virtual Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Socialization,Somatic Tacit Knowledge,Augment Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Socialization,Relational Tacit Knowledge,Virtual Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Socialization,Relational Tacit Knowledge,Augment Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Externalization,Somatic Tacit Knowledge,Virtual Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Externalization,Somatic Tacit Knowledge,Augment Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Externalization,Relational Tacit Knowledge,Virtual Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Storytelling,Externalization,Relational Tacit Knowledge,Augment Reality
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Combination,Collective Tacit Knowledge,AI
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Combination,Collective Tacit Knowledge,Big Data
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Combination,Intellectual Tacit Knowledge,AI
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Combination,Intellectual Tacit Knowledge,Big Data
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Internalization,Collective Tacit Knowledge,AI
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Internalization,Collective Tacit Knowledge,Big Data
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Internalization,Intellectual Tacit Knowledge,AI
1f27a5d1-606e-47c1-b3a9-c28cc06cd9aa,D. Division D: Manufacturing,Major Group 23: Apparel And Other Finished Products Made From Fabrics And Similar Materials,Communities of practice,Internalization,Intellectual Tacit Knowledge,Big Data
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,Big Data
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,Virtual Reality
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,Big Data
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,Virtual Reality
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,Big Data
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,Virtual Reality
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,Big Data
6c18f2b7-1de7-4679-8408-071bb10a2ec2,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,Virtual Reality
59a9b128-0ccc-409d-aa1b-fffb6c3c6194,C. Division C: Construction,Major Group 16: Heavy Construction Other Than Building Construction Contractors,Communities of practice,,,AI
59a9b128-0ccc-409d-aa1b-fffb6c3c6194,C. Division C: Construction,Major Group 16: Heavy Construction Other Than Building Construction Contractors,Communities of practice,,,Big Data
8416355c-0617-4d48-a174-cd5b3fa433e7,I. Division I: Services,"Major Group 87: Engineering, Accounting, Research, Management, And Related Services",Communities of practice,,Relational Tacit Knowledge,AI
8416355c-0617-4d48-a174-cd5b3fa433e7,I. Division I: Services,"Major Group 87: Engineering, Accounting, Research, Management, And Related Services",Communities of practice,,Collective Tacit Knowledge,AI
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Externalization,Somatic Tacit Knowledge,AI
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Externalization,Somatic Tacit Knowledge,Big Data
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,AI
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,Big Data
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Combination,Somatic Tacit Knowledge,AI
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Combination,Somatic Tacit Knowledge,Big Data
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,AI
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,Big Data
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Socialization,Collective Tacit Knowledge,Virtual Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Socialization,Collective Tacit Knowledge,Augment Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Socialization,Intellectual Tacit Knowledge,Virtual Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Socialization,Intellectual Tacit Knowledge,Augment Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Internalization,Collective Tacit Knowledge,Virtual Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Internalization,Collective Tacit Knowledge,Augment Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
ef171fd1-bb26-4c8e-ad93-10bd37f8f9a4,D. Division D: Manufacturing,Major Group 20: Food And Kindred Products,Communities of practice,Internalization,Intellectual Tacit Knowledge,Augment Reality
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,AI
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,Big Data
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,Big Data
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,AI
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,Big Data
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,AI
0d4dc4e7-18d9-4c24-8a18-3d85f0a4d69a,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,Big Data
4ccaf54a-9e9c-4519-b035-3ad7d16afc4f,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,Relational Tacit Knowledge,AI
4ccaf54a-9e9c-4519-b035-3ad7d16afc4f,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,Relational Tacit Knowledge,Virtual Reality
4ccaf54a-9e9c-4519-b035-3ad7d16afc4f,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,Collective Tacit Knowledge,AI
4ccaf54a-9e9c-4519-b035-3ad7d16afc4f,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,Collective Tacit Knowledge,Virtual Reality
f06136b0-2463-44e9-8aeb-468860f2f73b,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Relational Tacit Knowledge,AI
f06136b0-2463-44e9-8aeb-468860f2f73b,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Collective Tacit Knowledge,AI
ba1d9787-d3cc-4a9f-8d6f-126e75775b07,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Deliberate Practice,Externalization,Intellectual Tacit Knowledge,AI
ba1d9787-d3cc-4a9f-8d6f-126e75775b07,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Deliberate Practice,Combination,Intellectual Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Relational Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,Socialization,Somatic Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,Socialization,Intellectual Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,Internalization,Somatic Tacit Knowledge,AI
50b7835c-7ab5-4c05-9723-46fea133e019,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,Internalization,Intellectual Tacit Knowledge,AI
5d3782ef-582c-4c7c-8717-5fbd9f9862fe,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,,AI
5d3782ef-582c-4c7c-8717-5fbd9f9862fe,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,,Virtual Reality
5d3782ef-582c-4c7c-8717-5fbd9f9862fe,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,,Augment Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Externalization,Somatic Tacit Knowledge,Virtual Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Externalization,Somatic Tacit Knowledge,Augment Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Externalization,Collective Tacit Knowledge,Virtual Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Externalization,Collective Tacit Knowledge,Augment Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Somatic Tacit Knowledge,Virtual Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Somatic Tacit Knowledge,Augment Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Collective Tacit Knowledge,Virtual Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Collective Tacit Knowledge,Augment Reality
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Communities of practice,Socialization,Collective Tacit Knowledge,AI
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Communities of practice,Socialization,Relational Tacit Knowledge,AI
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Communities of practice,Combination,Collective Tacit Knowledge,AI
f06f07f8-51d8-4dd7-b78c-6f285b06e6df,I. Division I: Services,Major Group 80: Health Services,Communities of practice,Combination,Relational Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Intellectual Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Intellectual Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Knowledge Harvesting Workshops,Combination,Collective Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Mentoring,Socialization,Somatic Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Mentoring,Socialization,Relational Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Mentoring,Internalization,Somatic Tacit Knowledge,AI
93e90a7c-51a8-480d-88ce-89a77ee4dc65,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Mentoring,Internalization,Relational Tacit Knowledge,AI
2c05d406-51cd-4ac2-9286-8bc9bf83f918,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,AI
2c05d406-51cd-4ac2-9286-8bc9bf83f918,I. Division I: Services,Major Group 82: Educational Services,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
