Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas,style,relevance,challenges,methods,findings,industries,activities,uuid
"Digital Transformation In Water Utilities: Status, Challenges, And Prospects","Grigg, NS","Highlights What are the main findings? Digital transformation in water utilities occurs along two pathways, one to serve business operations and the other to operate and maintain their intensive infrastructures with evolving tools like data-centric asset management, decision support systems, SCADA systems, digital twins, and process optimization. Digital advances in water utilities occur more through their support community of their own technology gatekeepers, consultants, and vendors than through academic and government research projects, and technological innovation will evolve slowly among leading edge utilities, as many others are too stressed with basic issues to adopt many of them. What is the implication of the main finding? Support for utility leadership in data-centric management offers a promising avenue to overcome legacy problems of aging infrastructure, water losses, and contamination problems in drinking water networks. Promoting innovation through utility networking and peer-to-peer knowledge transfer offers policy leaders a promising pathway to improve urban water services and requires understanding of the importance of knowledge management in allocating financial resources for utility work.Highlights What are the main findings? Digital transformation in water utilities occurs along two pathways, one to serve business operations and the other to operate and maintain their intensive infrastructures with evolving tools like data-centric asset management, decision support systems, SCADA systems, digital twins, and process optimization. Digital advances in water utilities occur more through their support community of their own technology gatekeepers, consultants, and vendors than through academic and government research projects, and technological innovation will evolve slowly among leading edge utilities, as many others are too stressed with basic issues to adopt many of them. What is the implication of the main finding? Support for utility leadership in data-centric management offers a promising avenue to overcome legacy problems of aging infrastructure, water losses, and contamination problems in drinking water networks. Promoting innovation through utility networking and peer-to-peer knowledge transfer offers policy leaders a promising pathway to improve urban water services and requires understanding of the importance of knowledge management in allocating financial resources for utility work.Abstract While digital transformation in e-commerce receives the most publicity, applications in energy and water utilities have been ongoing for decades. Using a methodology based on a systematic review, the paper offers a model of how it occurs in water utilities, reviews experiences from the field, and derives lessons learned to create a road map for future research and implementation. Innovation in water utilities occurs more in the field than through organized research, and utilities share their experiences globally through networks such as water associations, focus groups, and media outlets. Their digital transformation journeys are evident in business practices, operations, and asset management, including methods like decision support systems, SCADA systems, digital twins, and process optimization. Meanwhile, they operate traditional regulated services while being challenged by issues like aging infrastructure and workforce capacity. They operate complex and expensive distribution systems that require grafting of new controls onto older systems with vulnerable components. Digital transformation in utilities is driven by return on investment and regulatory and workforce constraints and leads to cautious adoption of innovative methods unless required by external pressures. Utility adoption occurs gradually as digital tools help utilities to leverage system data for maintenance management, system renewal, and water loss control. Digital twins offer the advantages of enterprise data, decision support, and simulation models and can support distribution system optimization by integrating advanced metering infrastructure devices and water loss control through more granular pressure control. Models to anticipate water main breaks can also be included. With such advances, concerns about cyber security will grow. The lessons learned from the review indicate that research and development for new digital tools will continue, but utility adoption will continue to evolve slowly, even as many utilities globally are too stressed with difficult issues to adopt them. Rather than rely on government and academics for research support, utilities will need help from their support community of regulators, consultants, vendors, and all researchers to navigate the pathways that lie ahead.",digital transformation; water utilities; distribution systems; digital twins; process optimization; enterprise management,MDPI,Basel,2025,J,English,http://dx.doi.org/10.3390/smartcities8030099,Empty,81,3,3,10,13,"Engineering, Electrical & Electronic; Urban Studies",Emerging Sources Citation Index (ESCI),Engineering; Urban Studies,Systematic Review,0.8,"The main research problem addressed is the slow and cautious adoption of digital transformation in water utilities, which is hindered by issues such as aging infrastructure, workforce capacity, and regulatory constraints. The study also highlights the need for support from the utility's community of technology gatekeepers, consultants, and vendors rather than relying solely on academic and government research projects.",['systematic review'],"Digital transformation in water utilities occurs along two pathways: one to serve business operations and the other to operate and maintain their intensive infrastructures with evolving tools like data-centric asset management, decision support systems, SCADA systems, digital twins, and process optimization. Digital advances in water utilities occur more through their support community of technology gatekeepers, consultants, and vendors than through academic and government research projects. Technological innovation will evolve slowly among leading-edge utilities, as many others are too stressed with basic issues to adopt many of them. Support for utility leadership in data-centric management offers a promising avenue to overcome legacy problems of aging infrastructure, water losses, and contamination problems in drinking water networks. Promoting innovation through utility networking and peer-to-peer knowledge transfer offers policy leaders a promising pathway to improve urban water services and requires understanding of the importance of knowledge management in allocating financial resources for utility work.","{'division': 'E. Division E: Transportation, Communications, Electric, Gas, And Sanitary Services', 'majorGroup': 'Major Group 49: Electric, Gas, And Sanitary Services'}","[{'activity_name': 'Communities of practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['Digital Twins']}]",1676320e-a327-44da-be2d-ee95360dd361
The Diff-First Approach: Agentic Ai For Cross-Type Transition Training,"Yang, TC; Huang, RB; Feng, SS; Li, F","Operators often face challenges when transitioning between systems in industry, requiring knowledge and skill transfer. Addressing this issue involves multiple factors, including personnel, organisation, knowledge, and technology, often resulting in lengthy and inefficient processes. Inspired by transfer theory, we define the knowledge resources and cognitive support needed to solve the cross-type transition training (CTTT) problem from the perspective of differences. Agentic AI's planning, execution, and multimodal generation capabilities offer a promising solution. We introduce the Diff-First Approach, which leverages cross-type differences to build a knowledge transfer framework. We propose a multi-level multimodal knowledge resource structure for retrieval, with the Diff-First Thought Chain guiding AI agents' reasoning and providing enhanced multimodal cognitive support to users. The aircraft type transition process in aviation is used as a case study, and DELTA-T is proposed as its implementation. This system utilises agents to perform transfer target identification, knowledge retrieval, and multimodal cognitive support generation. The agentic AI framework enhances recognition and multimodal retrieval in knowledge transfer tasks, achieving 92.7% accuracy in image editing and favourable subjective ratings for over 93% of generated content. These findings demonstrate that the proposed method effectively supports CTTT tasks in specialised knowledge domains, highlighting a promising human-AI training paradigm.",Knowledge transfer; cross-type transition training; agentic AI; multimodal generation,TAYLOR & FRANCIS LTD,Abingdon,2026,J,English,http://dx.doi.org/10.1080/09544828.2025.2610792,Empty,80,0,0,2,2,"Engineering, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Engineering,Original Research,0.9,"Operators face challenges when transitioning between systems in industry, requiring knowledge and skill transfer, which often results in lengthy and inefficient processes.","['Transfer theory', 'Diff-First Approach', 'Multi-level multimodal knowledge resource structure', 'Diff-First Thought Chain', 'Agentic AI framework']","The proposed method effectively supports CTTT tasks in specialized knowledge domains, achieving 92.7% accuracy in image editing and favourable subjective ratings for over 93% of generated content, highlighting a promising human-AI training paradigm.","{'division': 'E. Division E: Transportation, Communications, Electric, Gas, And Sanitary Services', 'majorGroup': 'Major Group 45: Transportation By Air'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI']}]",9d43813e-c365-47ae-974c-748508ce4e7a
Virtual And Augmented Reality Techniques For Medical Education: A Review Of Ai And Visual Computing Innovations,"Zou, ZH; Yang, JL; Xu, YY; Chen, LF; Zeng, D; Li, HE; Qin, YM","Conventional medical education faces resource constraints, including limited access to cadavers, difficulties in safely replicating high-risk scenarios, and uneven distribution of training opportunities. Virtual and augmented reality technologies address these issues by providing immersive, interactive simulations that replicate medical environments with high fidelity. Through 3D modeling, real-time rendering, and multisensory feedback, these platforms allow trainees to practice complex procedures risk-free, enhancing skill development and decision-making. Innovations in AI-driven content generation, adaptive learning, and edge computing further improve scalability and effectiveness. By overcoming physical barriers, VR/AR democratizes access to specialized training, reshaping medical education for improved skill acquisition, knowledge retention, and global collaboration.",Virtual reality; Augmented reality; Medical education; Visual computing; Surgical simulation; Anatomy training,SPRINGER,New York,2025,J,English,http://dx.doi.org/10.1007/s00371-025-04280-2,Empty,136,0,0,8,8,"Computer Science, Software Engineering",Science Citation Index Expanded (SCI-EXPANDED),Computer Science,Original Research,0.8,"Conventional medical education faces resource constraints, including limited access to cadavers, difficulties in safely replicating high-risk scenarios, and uneven distribution of training opportunities.",[],"Virtual and augmented reality technologies address these issues by providing immersive, interactive simulations that replicate medical environments with high fidelity. These platforms enhance skill development and decision-making, and innovations in AI-driven content generation, adaptive learning, and edge computing further improve scalability and effectiveness. VR/AR democratizes access to specialized training, reshaping medical education for improved skill acquisition, knowledge retention, and global collaboration.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 80: Health Services'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",8bced323-29fc-4fdd-a3d8-909de3d88a9f
Chatgpt And Finetuned Bert: A Comparative Study For Developing Intelligent Design Support Systems,"Qiu, YJ; Jin, Y","Large Language Models (LLMs), like ChatGPT, have sparked considerable interest among researchers across diverse disciplines owing to their remarkable text processing and generation capabilities. While ChatGPT is typically employed for tasks involving general knowledge, researchers increasingly explore the potential of this LLM-based tool in specific domains to enhance productivity. This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. Through experiments conducted on classification and generation tasks, the knowledge transfer and elicitation abilities of ChatGPT are examined and contrasted with those of the finetuned BERT model. The findings indicate that ChatGPT exhibits comparable performance to the finetuned BERT model in sentence-level classification tasks but struggles with short sequences. However, ChatGPT's classification performance significantly improves when a few-shot setting is applied. Moreover, it can filter out unrelated data and enhance dataset quality by assimilating the underlying domain knowledge. Regarding content generation, ChatGPT with a zero-shot setting produces informative and readable output for domain-specific questions, albeit with an excessive amount of unrelated information, which can burden readers. In conclusion, ChatGPT demonstrates a promising potential for application in facilitating data labeling, knowledge transfer, and knowledge elicitation tasks. With minimal guidance, ChatGPT can substantially enhance the efficiency of domain experts in accomplishing their objectives. The findings suggest a nuanced integration of artificial intelligence (AI) with human expertise, bridging the gap from mere classification models to sophisticated human-analogous text generation systems. This signals a future in AI-augmented engineering design where the robust capabilities of AI technologies integrate with human creativity and innovation, creating a dynamic interactions to redefine how we tackle design challenges.",Language model; Knowledge transferring; Knowledge elicitation; Text classification; Text generation,ELSEVIER,Amsterdam,2024,J,English,http://dx.doi.org/10.1016/j.iswa.2023.200308,Empty,52,31,37,3,12,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications",Emerging Sources Citation Index (ESCI),Computer Science,Original Research,0.7,"The study addresses the challenge of comparing the performance of a finetuned BERT model with that of ChatGPT on domain-specific datasets, particularly in the context of developing an intelligent design support system. It aims to explore the potential of LLMs like ChatGPT in specific domains to enhance productivity.","['Experiments on classification and generation tasks', 'Comparison of finetuned BERT model and ChatGPT', 'Few-shot setting for classification tasks']","ChatGPT shows comparable performance to the finetuned BERT model in sentence-level classification tasks but struggles with short sequences. Its performance improves significantly in a few-shot setting. ChatGPT can filter out unrelated data and enhance dataset quality by assimilating domain knowledge. In content generation, ChatGPT produces informative and readable output for domain-specific questions, though it includes excessive unrelated information. The study suggests that ChatGPT has potential for facilitating data labeling, knowledge transfer, and knowledge elicitation tasks, and can substantially enhance the efficiency of domain experts with minimal guidance.","{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 35: Industrial And Commercial Machinery And Computer Equipment'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI']}, {'activity_name': 'Communities of practice', 'knowledge_flows': ['Socialization', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['AI']}]",cccc404a-e150-4f1f-a094-c9f1947a4e8b
Next-Gen Safety Training: Ict Solutions For Informal Workers In Colombia,"Puello-Socarrás, GE","This paper explores the utilization of Information and Communication Technology (ICT) solutions to address safety training concerns among informal workers in Colombia. The informal sector, particularly prevalent in industries like mining, presents unique challenges regarding occupational health and safety. By leveraging next-generation ICT tools, such as virtual reality (VR), augmented reality (AR), and mobile applications, this study aims to enhance safety training effectiveness and accessibility for informal workers in Colombia. Drawing upon existing literature and case studies, the paper evaluates the potential of ICT solutions to bridge gaps in traditional safety training methods, offering tailored, interactive, and immersive experiences. Additionally, it discusses the integration of culturally sensitive content and user-friendly interfaces to ensure maximum engagement and knowledge retention. Through a comprehensive analysis of current practices and emerging technologies, this paper underscores the transformative impact of ICT solutions in fostering a safer work environment for informal workers in Colombia.",Risk analysis; Health and safety; Psychology; Control Systems,IEEE,New York,2024,C,English,http://dx.doi.org/10.1109/GHTC62424.2024.10771514,Empty,18,0,0,0,0,"Computer Science, Interdisciplinary Applications; Social Issues",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Social Issues,Narrative Review,0.8,"The main challenge addressed in the study is the safety training concerns among informal workers in Colombia, particularly in industries like mining, where traditional safety training methods are inadequate.","['Literature review', 'Case studies', 'Evaluation of ICT solutions']","The study finds that next-generation ICT tools, such as VR, AR, and mobile applications, can enhance the effectiveness and accessibility of safety training for informal workers. These technologies offer tailored, interactive, and immersive experiences, which, when combined with culturally sensitive content and user-friendly interfaces, can significantly improve engagement and knowledge retention, thereby fostering a safer work environment.","{'division': 'B. Division B: Mining', 'majorGroup': 'Major Group 10: Metal Mining'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",39b5dcdb-3342-4005-a0fa-ad1ec3fc313c
A User Evaluation Study Of Augmented And Virtual Reality Tools For Training And Knowledge Transfer,"Zacharaki, EI; Triantafyllidis, A; Carreton, R; Loeck, M; Michalellis, I; Michalakis, G; Chantziaras, G; Segkouli, S; Giakoumis, D; Moustakas, K; Votis, K; Tzovaras, D","Modern augmented and virtual reality (AR/VR) technology open multiple new capabilities in the way people interact, collaborate and deliver or receive information via digital interfaces. Industry workers and operators may especially benefit from such solutions that allow them to get trained, onsite or remotely, using digital copies of the workplace environment. This paper presents the development of AR/VR-based collaborative and telepresence tools, along with a web-based platform for knowledge exchange and interaction, as part of the Ageing@Work project, that enable easy transfer of know-how from experienced (possibly older) to novice workers. The remote collaboration tools facilitate variability in location and working hours, and thus promote age-neutralizing means of participation and cooperation, whereas the knowledge transfer tools support the ageing worker's leadership characteristics within the workplace community, allowing the company or work site to capitalize on her/his experience and expertise gained through the years. The tools were developed in accordance to a user-centred design process and were evaluated by 126 participants in total through online surveys in two pilot sites with regard to core Industry 4.0 processes of mining and machines production, as well as through off-pilot studies. This paper presents analytic outcomes of the assessment of knowledge transfer tools illustrating very positive results on the level of technology acceptance, and the overall potential of the developed solutions to support healthy and productive ageing of workers with enhanced workability.",Augmented reality; Virtual reality; Knowledge transfer; Remote collaboration; Technology acceptance; Ageing workers,SPRINGER INTERNATIONAL PUBLISHING AG,Cham,2022,C,English,http://dx.doi.org/10.1007/978-3-031-05039-8_21,Empty,9,2,3,1,10,"Computer Science, Cybernetics; Computer Science, Theory & Methods; Ergonomics",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Engineering,Original Research,0.9,"The main challenge addressed is the need to facilitate knowledge transfer from experienced (possibly older) workers to novice workers, especially in industries where physical presence and hands-on training are crucial.","['user-centred design process', 'online surveys', 'pilot studies']","The developed AR/VR-based tools for remote collaboration and knowledge transfer were positively received, with high levels of technology acceptance. These solutions have the potential to support healthy and productive ageing of workers, enhancing their workability and enabling age-neutral participation and cooperation.","{'division': 'B. Division B: Mining', 'majorGroup': 'Major Group 10: Metal Mining'}","[{'activity_name': 'Mentoring', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",5714281b-9f2c-4c5c-8d4b-d7f182c04bbf
Linking Code And Documentation Churn: Preliminary Analysis,"Hovhannisyan, A; Fan, Y; Rodríguez-Pérez, G; Kula, RG","Code churn refers to the measure of the amount of code added, modified, or deleted in a project and is often used to assess codebase stability and maintainability. Program comprehension or how understandable the changes are, is equally important for maintainability. Documentation is crucial for knowledge transfer, especially when new maintainers take over abandoned code. We emphasize the need for corresponding documentation updates, as this reflects project health and trustworthiness as a third-party library. Therefore, we argue that every code change should prompt a documentation update (defined as documentation churn). Linking code churn changes with documentation updates is important for project sustainability, as it facilitates knowledge transfer and reduces the effort required for program comprehension. This study investigates the synchrony between code churn and documentation updates in three GitHub open-source projects. We will use qualitative analysis and repository mining to examine the alignment and correlation of code churn and documentation updates over time. We want to identify which code changes are likely synchronized with documentation and to what extent documentation can be auto-generated. Preliminary results indicate varying degrees of synchrony across projects, highlighting the importance of integrated concurrent documentation practices and providing insights into how recent technologies like AI, in the form of Large Language Models (i.e., LLMs), could be leveraged to keep code and documentation churn in sync. The novelty of this study lies in demonstrating how synchronizing code changes with documentation updates can improve the development lifecycle by enhancing diversity and efficiency.",code churn; software maintenance; knowledge transfer; automated documentation generation,IEEE COMPUTER SOC,Los Alamitos,2024,C,English,http://dx.doi.org/10.1109/ISSREW63542.2024.00058,Empty,10,0,0,0,0,"Computer Science, Artificial Intelligence; Computer Science, Software Engineering",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,Original Research,0.9,"The main challenge addressed is the lack of synchrony between code churn and documentation updates, which can hinder project sustainability, knowledge transfer, and program comprehension.","['qualitative analysis', 'repository mining']","Preliminary results indicate varying degrees of synchrony across projects, highlighting the importance of integrated concurrent documentation practices. The study also suggests that recent technologies like AI (Large Language Models) could be leveraged to keep code and documentation churn in sync, improving the development lifecycle by enhancing diversity and efficiency.","{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 35: Industrial And Commercial Machinery And Computer Equipment'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Intellectual Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI']}]",30740fc5-632e-417c-9fd3-09c6e733b34c
Deep Knowledge Tracing And Cognitive Load Estimation For Personalized Learning Path Generation Using Neural Network Architecture,"Tong, CY; Ren, CH","This paper presents a novel approach for personalized learning path generation by integrating deep knowledge tracing and cognitive load estimation within a unified framework. We propose a dual-stream neural network architecture that simultaneously models students' knowledge states and cognitive load levels to optimize learning trajectories. The knowledge state tracking module employs a bidirectional Transformer with graph attention mechanisms to capture complex relationships between knowledge components, while the cognitive load estimation module utilizes multimodal data analysis to dynamically assess mental effort during learning activities. A dual-objective optimization algorithm balances knowledge acquisition with cognitive load management to generate paths that maintain optimal challenge levels. Experimental evaluations across multiple educational domains demonstrate that our approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). The implemented system supports real-time adaptation based on performance and cognitive state, resulting in reduced frustration, higher engagement, and improved knowledge retention. This research contributes to both theoretical understanding of learning processes and practical implementation of next-generation adaptive educational technologies.",Deep knowledge tracing; Cognitive load Estimation; Personalized learning; Neural networks; Adaptive learning systems; Educational technology,NATURE PORTFOLIO,Berlin,2025,J,English,http://dx.doi.org/10.1038/s41598-025-10497-x,Empty,64,3,4,19,21,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics,Original Research,0.8,The main research problem addressed is the need for a more effective and personalized approach to learning path generation that integrates knowledge tracing and cognitive load management.,"['dual-stream neural network architecture', 'bidirectional Transformer with graph attention mechanisms', 'multimodal data analysis', 'dual-objective optimization algorithm']","The proposed approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). It also supports real-time adaptation, leading to reduced frustration, higher engagement, and improved knowledge retention.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 82: Educational Services'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['AI', 'Big Data']}]",c189b335-250e-435a-8d0a-a2e6c34ff4eb
Artificial Intelligence In Orthopedic Medical Education: A Comprehensive Review Of Emerging Technologies And Their Applications,"Sporn, K; Kumar, R; Paladugu, P; Ong, J; Sekhar, T; Vaja, S; Hage, T; Waisberg, E; Gowda, C; Jagadeesan, R; Zaman, N; Tavakkoli, A","Integrating artificial intelligence (AI) and mixed reality (MR) into orthopedic education has transformed learning. This review examines AI-powered platforms like Microsoft HoloLens, Apple Vision Pro, and HTC Vive Pro, which enhance anatomical visualization, surgical simulation, and clinical decision-making. These technologies improve the spatial understanding of musculoskeletal structures, refine procedural skills with haptic feedback, and personalize learning through AI-driven adaptive algorithms. Generative AI tools like ChatGPT further support knowledge retention and provide evidence-based insights on orthopedic topics. AI-enabled platforms and generative AI tools help address challenges in standardizing orthopedic education. However, we still face many barriers that relate to standardizing data, algorithm evaluation, ethics, and the curriculum. AI is used in preoperative planning and predictive analytics in the postoperative period that bridges theory and practice. AI and MR are key to supporting innovation and scalability in orthopedic education. However, technological innovation relies on collaborative partnerships to develop equitable, evidence-informed practices that can be implemented in orthopedic education. For sustained impact, innovation must be aligned with pedagogical theories and principles. We believe that orthopedic medical educators' future critical role will be to enhance the next generation of competent clinicians.",AI and MR in orthopedic education; AI-powered platforms; personalized learning; preoperative planning; evidence-based practices,MDPI,Basel,2025,J,English,http://dx.doi.org/10.3390/ime4020014,Empty,56,0,0,2,2,"Education, Scientific Disciplines",Emerging Sources Citation Index (ESCI),Education & Educational Research,Narrative Review,0.8,"Barriers related to standardizing data, algorithm evaluation, ethics, and the curriculum in integrating AI and mixed reality into orthopedic education.","['Review of AI-powered platforms like Microsoft HoloLens, Apple Vision Pro, and HTC Vive Pro', 'Examination of generative AI tools like ChatGPT']","AI and MR technologies improve anatomical visualization, surgical simulation, and clinical decision-making, enhancing spatial understanding, procedural skills, and personalized learning. These technologies also support preoperative planning and predictive analytics, bridging theory and practice, and are key to supporting innovation and scalability in orthopedic education. Future innovation must be aligned with pedagogical theories and principles for sustained impact.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 80: Health Services'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",44128de4-fb5f-40e1-b796-e2241ca0dde2
Comparing Conventional Physician-Led Education With Vr Education For Pacemaker Implantation: A Randomized Study,"Drozdova, A; Polokova, K; Jiravsky, O; Godula, BJ; Chovancik, J; Ranic, I; Jiravsky, F; Hecko, J; Sknouril, L","Introduction: Education of patients prior to an invasive procedure is pivotal for good cooperation and knowledge retention. Virtual reality (VR) is a fast-developing technology that helps educate both medical professionals and patients. Objective: To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM). Methods: 150 participants scheduled for an elective implantation of a PPM were enrolled in this prospective study and randomized into two groups: the VR group (n = 75) watched a 360 degrees video about the procedure using the VR headset Oculus Meta Quest 2, while the conventional group (n = 75) was educated by a physician. Both groups filled out a questionnaire to assess the quality of education pre- and in-hospital, their knowledge of the procedure, and their subjective satisfaction. Results: There was no significant difference in the quality of education. There was a non-significant trend towards higher educational scores in the VR group. The subgroup with worse scores was older than the groups with higher scores (82 vs. 76 years, p = 0.025). Anxiety was reduced in 92% of participants. Conclusion: VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects.",patient education; virtual reality; pacemaker implantation; medical technology in education; health outcomes; preoperative anxiety,MDPI,Basel,2024,J,English,http://dx.doi.org/10.3390/healthcare12100976,Empty,26,3,4,4,16,Health Care Sciences & Services; Health Policy & Services,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Health Care Sciences & Services,Original Research,0.8,To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM).,"['Prospective study', 'Randomization into two groups (VR and conventional)', 'Questionnaire assessment']","VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects. There was a non-significant trend towards higher educational scores in the VR group, and older participants had worse scores.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 80: Health Services'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Socialization', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality']}]",2f137b2a-3280-41cf-aaee-b1cb10457e29
A Novel Methodology For Neural Compact Modeling Based On Knowledge Transfer,"Cha, YS; Park, J; Park, C; Chong, S; Kim, CH; Lee, CS; Jeong, I; Cho, HB","This work presents a novel approach of using knowledge transfer to increase the accuracy of artificial neural network (ANN)-based device compact models, or neural compact models. This is useful when the amount of data available for training an ANN is limited. By utilizing relatively abundant data of a previous technology node, physical phenomena that are not evident in the limited data of the target technology node (e.g. gate -induced drain leakage) are accurately predicted. When meta learning algorithms are used, the accuracy of the model significantly increases, with relative linear error 10 times lower compared to the case when prior knowledge is not incorporated. The proposed methodology can be used to model future generation devices with limited data, utilizing data from well-characterized past technology node devices.",Artificial neural network; Compact modeling; Deep learning; Knowledge transfer; Meta learning; MOSFET; Statistical modeling; Transfer learning,PERGAMON-ELSEVIER SCIENCE LTD,Oxford,2022,J,English,http://dx.doi.org/10.1016/j.sse.2022.108450,Empty,8,14,14,0,5,"Engineering, Electrical & Electronic; Physics, Applied; Physics, Condensed Matter",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Physics,Original Research,0.8,"Limited data available for training an artificial neural network (ANN) for device compact models, leading to the inability to accurately predict certain physical phenomena.","['knowledge transfer', 'meta learning algorithms']","Incorporating prior knowledge from a previous technology node using meta learning algorithms significantly increases the accuracy of the model, with relative linear error 10 times lower compared to when prior knowledge is not used. The proposed methodology can be applied to model future generation devices with limited data by utilizing data from well-characterized past technology node devices.","{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 36: Electronic And Other Electrical Equipment And Components, Except Computer Equipment'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Intellectual Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI']}]",088b5ce3-5137-4061-8359-89dc61c69275
