Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas
"Physics-Informed Neural Networks: A Review Of Methodological Evolution, Theoretical Foundations, And Interdisciplinary Frontiers Toward Next-Generation Scientific Computing","Ren, ZY; Zhou, SJ; Liu, D; Liu, QH","Physics-informed neural networks (PINNs) have emerged as a transformative methodology integrating deep learning with scientific computing. This review establishes a threedimensional analytical framework to systematically decode PINNs' development through methodological innovation, theoretical breakthroughs, and cross-disciplinary convergence. The contributions include threefold: First, identifying the co-evolutionary path of algorithmic architectures from adaptive optimization (neural tangent kernel-guided weighting achieving 230% convergence acceleration in Navier-Stokes solutions) to hybrid numerical-deep learning integration (5x speedup via domain decomposition) and second, constructing bidirectional theory-application mappings where convergence analysis (operator approximation theory) and generalization guarantees (Bayesian-physical hybrid frameworks) directly inform engineering implementations, as validated by 72% cost reduction compared to FEM in high-dimensional spaces (p < 0.01, n = 15 benchmarks). Third, pioneering cross-domain knowledge transfer through application-specific architectures: TFE-PINN for turbulent flows (5.12 +/- 0.87% error in NASA hypersonic tests), ReconPINN for medical imaging (triangle SSIM = +0.18 +/- 0.04 on multi-institutional MRI), and SeisPINN for seismic systems (0.52 +/- 0.18 km localization accuracy). We further present a technological roadmap highlighting three critical directions for PINN 2.0: neuro-symbolic, federated physics learning, and quantum-accelerated optimization. This work provides methodological guidelines and theoretical foundations for next-generation scientific machine learning systems.",partial differential equation; physics-informed neural network; scientific computing; AI for science; artificial intelligence,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/app15148092,40,20,21,77,78,"Chemistry, Multidisciplinary; Engineering, Multidisciplinary; Materials Science, Multidisciplinary; Physics, Applied",Science Citation Index Expanded (SCI-EXPANDED),Chemistry; Engineering; Materials Science; Physics
Digital Twin-Driven Source-Free Adaptation Diagnosis For Rolling Element Bearing Under Data Privacy,"Lu, XY; Jiao, JY; Lin, J; Liu, ZY; Liu, HY; Zhang, BY","Intelligent fault diagnosis methods have been widely adopted in industrial fields with impressive successes, while they heavily rely on massive labeled data. Digital twin (DT) technology can provide sufficient data for training intelligent diagnosis models, tackling the dilemma of fault sample scarcity in practice. However, model distortion and data privacy impede the development of DT-driven fault diagnosis, making it difficult to transfer diagnosis knowledge from DT to measurements. In this paper, a DT-driven source-free adaptation diagnosis (DTSF) framework is proposed to solve the above problem. First, a high-fidelity DT model of rolling element bearing (REB) is constructed through dynamic modeling and structural parameter updating, which reflects the operating condition of the physical REB. Then, a source-free unsupervised domain adaptation network is developed to perform knowledge transfer, consisting of two separated stages: (1) the source model generation, where labeled DT data are fed to pre-train the model, and (2) the model adaptation, where both DT model and data are denied access, the model is adapted to unlabeled measured data only. This source-free paradigm is in line with the demands of data privacy protection and lightweight diagnosis. Furthermore, extensive experiments on two different REB datasets demonstrate the effectiveness and superiority of the proposed methodology.",Intelligent fault diagnosis; Digital twin; Source-free; Rolling element bearing,ELSEVIER SCI LTD,London,2025,J,English,http://dx.doi.org/10.1016/j.ress.2025.111454,41,4,4,40,44,"Engineering, Industrial; Operations Research & Management Science",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Operations Research & Management Science
Elaboration Of Innovative Digital Twin Models For Healthcare Monitoring With 6G Functionalities,"Brahmi, R; Boujnah, N; Ejbali, R","Remote monitoring of individuals with special healthcare needs and controlling their living spaces using emerging technologies is a significant focus for researchers from various disciplines, forming a crucial element of future healthcare development. Digitizing the healthcare sector demands expertise and knowledge transfer to create new paradigms and innovative solutions to enhance life quality and reduce healthcare burdens. One of the most promising technologies in this area is the Digital Twin (DT), a virtual replica of the real world with advanced features for data clustering, classification, and forecasting. This paper introduces an innovative context-aware framework for monitoring indoor air quality and human activity, integrating technologies like the Internet of Things (IoT), 6G networks, sensing and localization techniques, Edge Computing, Deep Learning models, and cloud platforms. The multidisciplinary research emphasizes the interaction of the DT concept with its environment and other technologies. The contributions include: establishing an architecture with sensors, gateways, and a DT object on Azure cloud, validated with AI models; linking 6G network sensing and communication capabilities with IoT-based techniques to enhance performance; and developing deep learning models for Human Activity Recognition (HAR) using inertial sensors, achieving a test accuracy of 99.34% and a real-time accuracy of 92.10%.",Medical services; Cloud computing; Monitoring; Older adults; Sensors; Computational modeling; Solid modeling; IMU sensors; deep learning; edge computing; 6G; terahertz frequency; IoT; azure cloud; DT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2024,J,English,http://dx.doi.org/10.1109/ACCESS.2024.3439269,40,9,10,6,14,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering; Telecommunications
What Affects Farmers' Intention To Learn About Sustainability In Online Settings? An Application Of The Extended Theory Of Planned Behaviour In Slovenia,"Novak, A; Alif, Z; Juvancic, L; Sumrada, T","The study uses the extended Theory of planned behaviour (TPB) to explore farmers' participation in knowledge transfer activities and the potential of information and communication technology (ICT) based agricultural advisory services. Results based on Structural Equation Modeling (SEM) and survey data of 4742 farmers who attended agri-environmental, organic farming or animal welfare training in Slovenia show that perceived behaviour control and attitudes were the most important factors influencing their intention to participate in future training. Satisfaction with the training, which was affected by the training content, design, and quality of the lecturer, had a further positive effect on the intention. We found that farmers who attended online sessions were less satisfied with the training than those participating in-person. Finally, online training was more likely attended by farmers who found it challenging to attend in-person due to lack of transportation options or time, and who had sufficient ICT knowledge, equipment and internet connection. Online sessions were also more often attended by older, female and part-time farmers. Our results emphasise the crucial role of offering advisory services adapted to the farmers' needs and preferences, as their satisfaction influences their attendance in training programs, which are often voluntary. Furthermore, the training design and implementation should take into account the needs of different groups of farmers, as the ICT-based advisory services may still not be evenly accessible to all farmers.",Structural equation modelling (SEM); Theory of planned behaviour (TPB); Farmer training; ICT-based advisory services; Sustainability,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,2025,J,English,http://dx.doi.org/10.1016/j.jrurstud.2024.103548,91,5,5,3,19,Geography; Regional & Urban Planning,Social Science Citation Index (SSCI),Geography; Public Administration
Application Of Improved Vmd-Lstm Model In Sports Artificial Intelligence,"Zhang, TC; Fu, CH","In recent years, with the rapid development of a new generation of artificial intelligence technology, how to deeply apply artificial intelligence technology to physical education and break through the limitations of time-space scenarios and knowledge transfer methods in traditional models has become a key issue in intelligent physical education in the era of artificial intelligence. In order to realize the online monitoring of wearable devices with artificial intelligence in sports and overcome the problem of low recognition accuracy of electrocardiogram, blood oxygen, and respiratory signals in many cases, this paper proposes a combination of variational modal decomposition based on the maximum envelope kurtosis method. Long-short-term neural network (VMD-LSTM) monitoring method for wearable sports equipment. Through experimental analysis and verification, the current signal of the VMD model shows a trend of fluctuating from large to stable and then to large with motion, while the training accuracy of LSTM after the 150th iteration is 94.09%, which shows that the coupling model VMD LSTM can better predict the direction of sports artificial intelligence. In addition, although the training time of the BP neural network is shorter than that of the LSTM model, there is a large gap between the recognition effect and the LSTM, and there are also large differences between different neural network structures. This shows that the VMD-LSTM model has broad application prospects in such models.",,HINDAWI LTD,LONDON,2022,J,English,http://dx.doi.org/10.1155/2022/3410153,33,5,8,4,55,Mathematical & Computational Biology; Neurosciences,Science Citation Index Expanded (SCI-EXPANDED),Mathematical & Computational Biology; Neurosciences & Neurology
Athena - The Nsf Ai Institute For Edge Computing,"Chen, YR; Banerjee, S; Daily, S; Krolik, J; Li, H; Limbrick, D; Pajic, M; Runton, R; Zhong, L","The National Science Foundation (NSF) Artificial Intelligence (AI) Institute for Edge Computing Leveraging Next Generation Networks (Athena) seeks to foment a transformation in modern edge computing by advancing AI foundations, computing paradigms, networked computing systems, and edge services and applications from a completely new computing perspective. Led by Duke University, Athena leverages revolutionary developments in computer systems, machine learning, networked computing systems, cyber-physical systems, and sensing. Members of Athena form a multidisciplinary team from eight universities. Athena organizes its research activities under four interrelated thrusts supporting edge computing: Foundational AI, Computer Systems, Networked Computing Systems, and Services and Applications, which constitute an ambitious and comprehensive research agenda. The research tasks of Athena will focus on developing AI-driven next-generation technologies for edge computing and new algorithmic and practical foundations of AI and evaluating the research outcomes through a combination of analytical, experimental, and empirical instruments, especially with target use-inspired research. The researchers of Athena demonstrate a cohesive effort by synergistically integrating the research outcomes from the four thrusts into three pillars: Edge Computing AI Systems, Collaborative Extended Reality (XR), and Situational Awareness and Autonomy. Athena is committed to a robust and comprehensive suite of educational and workforce development endeavors alongside its domestic and international collaboration and knowledge transfer efforts with external stakeholders that include both industry and community partnerships.",,AMER ASSOC ARTIFICIAL INTELL,MENLO PK,2024,J,English,http://dx.doi.org/10.1002/aaai.12147,9,0,0,1,6,"Computer Science, Artificial Intelligence",Science Citation Index Expanded (SCI-EXPANDED),Computer Science
"Shaping The Future Of Horticulture: Innovative Technologies, Artificial Intelligence, And Robotic Automation Through A Bibliometric Lens","Poenaru, MM; Manta, LF; Ghertescu, C; Manta, AG","This study conducts a bibliometric and content analysis based on publications indexed in the Web of Science Core Collection, aiming to map the evolution and key themes in horticultural research in the context of technological innovation and sustainability. The results reveal a strong orientation toward digitalization and automation, particularly through the integration of artificial intelligence, mechatronic systems, and sensor-based monitoring in crop management. In the field of biotechnology, keywords such as gene expression, genetic diversity, and micropropagation reflect a sustained research interest in improving crop resilience and disease resistance through genetic and in vitro propagation techniques. Furthermore, concepts such as environmental control, soilless culture, energy efficiency, and co-generation highlight the focus on optimizing growing conditions and integrating renewable energy sources into protected horticultural systems. The geographical distribution of studies highlights increased academic output in countries like India and regions of sub-Saharan Africa, reflecting a global interest in transferring advanced technologies to vulnerable areas. Moreover, collaboration networks are dominated by leading institutions such as Wageningen University, which act as hubs for knowledge diffusion. The findings suggest that future research should prioritize the development of durable, energy-efficient horticultural technologies adapted to various agro-climatic zones. It is recommended that policymakers and stakeholders support interdisciplinary research initiatives, promote knowledge transfer mechanisms, and ensure equitable access to innovation for smallholder farmers and emerging economies.",horticultural technologies; industrialization; VOSviewer; artificial intelligence,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/horticulturae11050449,159,3,3,2,3,Horticulture,Science Citation Index Expanded (SCI-EXPANDED),Agriculture
Self-Adaptive Evolutionary Multitasking Algorithm For Mobile Edge Computing In Internet Of Things,"Chen, GQ; Li, L; Chai, ZY","With the advancement of Internet of Things (IoT) technology, IoT smart devices (ISDs) are often frequently constrained by their battery capability and computing ability. In mobile edge computing (MEC) scenarios, ISDs increases computing capability while reducing energy consumption by offloading computation-intensive and latency-critical processes to edge servers. But the process of computing offloading (CO) leads to extra transmission time, which is unacceptable for IoT applications. Most current studies regard the CO as a multiobjective optimization (MOO) problem involving application completion time and energy consumption. However, with the increasing number of ISDs and the complexity of ISDs-based applications, it becomes extremely challenging to acquire the best solution through MOO. Evolutionary multitasking optimization (EMTO), as a novel search paradigm in evolutionary computation, utilizes intertask correlation and facilitates the solution of multiple tasks simultaneously. Therefore, we model the CO of ISDs as a multitasking multiobjective CO problem (MMCOP) by constructing an auxiliary task similar to the target task for the first time. In addition, we put forward a multitasking MOO algorithm based on reinforcement learning (RLMTO-CO) to solve MMCOP. Each task has a knowledge transfer probability value adaptively adjusted by reinforcement learning (RL), and the generation of auxiliary tasks is updated adaptively. The performance of RLMTO-CO has been validated in different test cases close to true IoT environments, and the experimental results show the superior competitiveness.",Computing offloading (CO); knowledge transfer; mobile edge computing (MEC); multitasking multiobjective evolution; reinforcement learning (RL),IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2024,J,English,http://dx.doi.org/10.1109/JIOT.2024.3412777,49,4,4,2,18,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering; Telecommunications
Rural Credit Acquisition For Family Farming In Brazil: Evidence From The Legal Amazon,"Moreira-Dantas, IR; Martínez-Zarzoso, I; Henning, C; dos Santos, MAS","Family farmers are important actors to sustain food security and job generation in Brazilian rural areas. The National Program for Strengthening Family Farming (PRONAF) is the main public program offering microcredits to family farmers to foster sustainable production and reduce the poverty gap. While poverty and income inequality prevail in the Amazon, credits seem to target wealthier livestock farmers, and neglect smallholders engaged in crop production. This paper assesses the factors influencing the monetary amount of credit received at the regional level and argues that stable production systems and strong credit mechanisms could facilitate market access, knowledge transfer, and technology adoption. A spatial Durbin error model is utilized to analyze the factors determining the credit received while controlling for spatial correlations in livestock and agricultural systems in 103 microregions, composing the Brazilian Legal Amazon. To complement the quantitative estimations, we conducted 35 semi-structured interviews with key informants from technical assistance, scholars, and banks managers. Results suggest a geographical interdependence of PRONAF microcredit allocation, where wealthier farmers steadily access markets and credits. Microregions where commercial banks are present and with higher production values receive higher microcredits, strengthening the economic advantages of wealthier farmers located in those regions. Therefore, in order to improve credit allocation, political actions should focus on targeting poor and vulnerable farmers lacking social networks, stable markets and financial investments.",Rural credit; Credit acquisition; Legal amazon; Family farming; PRONAF; Spatial durbin error model,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,2023,J,English,http://dx.doi.org/10.1016/j.jrurstud.2023.103041,101,16,18,6,45,Geography; Regional & Urban Planning,Social Science Citation Index (SSCI),Geography; Public Administration
"Differences In Assets, Strategies, And Livelihood Outcomes Among Oil Palm Smallholder Typologies In West Sulawesi, Indonesia","Anas, K; Naping, H; Salman, D; Tenriawaru, AN","Oil palm cultivation plays a critical role in rural livelihoods in Indonesia, yet previous research has often overlooked systematic institutional differences among smallholders. This study aims to analyze disparities in assets, strategies, and livelihood outcomes among three oil palm smallholder typologies-ex-Perkebunan Inti Rakyat (PIR) transmigrant smallholders who received land through government transmigration programs, independent smallholders who cultivate oil palm without formal partnerships, and plasma smallholders operating under corporate partnership schemes-in Central Mamuju Regency, West Sulawesi. A descriptive quantitative approach based on the sustainable livelihoods framework was employed, using chi-square analysis of data collected from 90 respondents through structured interviews and field observations. The results show that ex-PIR smallholders possess higher physical, financial, and social capital and achieve better income and welfare outcomes compared to independent and plasma smallholders. Independent smallholders exhibit resilience through diversified livelihood strategies, whereas plasma smallholders face asset limitations and structural dependency on partner companies, increasing their economic vulnerability. The study concludes that differentiated policy approaches are necessary to enhance the resilience of each group, including improving capital access, promoting income diversification, and strengthening institutions for plasma smallholders. Future research should expand geographical scope and explore factors such as technology adoption, gender dynamics, and intergenerational knowledge transfer to deepen understanding of sustainable smallholder livelihoods in tropical plantation contexts.",oil palm; smallholder typology; livelihood system; Perkebunan Inti Rakyat; sustainable livelihoods,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/su17136064,66,0,0,2,2,Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics; Environmental Sciences & Ecology
Culturally Tailored Serious Game Design: A Revolutionary Model For Smart Agriculture,"Riaz, S; Ishaq, K; Alvi, A; Salleh, SM; Nawaz, NA","Smart agriculture, which is culturally specific, combines education with the celebratory potlatch of our agrarian heritage. Smart agriculture, also known as precision farming, refers to the application of advanced technologies to enhance the effectiveness and efficiency of agricultural practices. The concept of serious games has gained popularity across various fields, including smart agriculture. Serious gaming is currently being considered as a new approach to address challenging farming issues and enhance farmer training, thereby stimulating technological innovation in the agricultural sector. Despite the growing interest in serious games, there is a lack of research exploring how such games can effectively communicate practical farming knowledge, particularly across different cultural practices. Research is needed to assess whether these games can effectively teach key topics, such as soil management and crop selection while respecting cultural norms. It is also crucial to evaluate whether gameplay influences players' attitudes toward sustainable farming and the extent to which they retain the knowledge in real-world contexts. This study examines a culturally specific game design model for smart agriculture, integrating educational and cultural elements to enhance learning and engagement. The game allows players to experience the farming cycle, encompassing planting, tending, and harvesting. It is intended to educate children and anyone interested in learning about the origins of their food, as well as to explain why sustainable farming is essential for future generations. The players experience farming through seasonal cycles, from decisions on seed types to soil preparation, including dealing with weather calamities. A quasiexperimental design compared two groups: a traditional learning group and an experimental serious game group. A serious game developed based on the proposed model was implemented and evaluated through pre- and posttests, statistical analyses, and heuristic evaluations to measure improvements in agricultural knowledge. The results demonstrate significant knowledge retention in the game group, particularly in precision farming, sustainability, and IoT-based solutions (p < 0.05). These findings highlight the potential of serious games as an innovative tool for blending traditional agricultural knowledge with modern farming practices, promoting sustainable farming education in diverse cultural settings.",cultural context; game-based learning; serious game; smart agriculture; sustainability,WILEY,HOBOKEN,2025,J,English,http://dx.doi.org/10.1155/hbe2/6564116,72,0,0,4,4,"Psychology, Multidisciplinary",Emerging Sources Citation Index (ESCI),Psychology
Dynamic Neural Transfer For Domain-Level Zero-Shot Cognitive Diagnosis,"Wang, FX; Xu, XJ; Gou, Y; Sun, JQ; Cui, WF; Meng, FJ","Cognitive diagnosis, which assesses students' knowledge mastery by analyzing their practice logs, is a core technology for intelligent education systems to achieve personalized services. However, in the cold-start scenario of new domains, the lack of student logs restricts the diagnostic performance of traditional models. This paper proposes the DynaZero-CD framework enhanced by dynamic attention, which optimizes the domain-level zero-shot cognitive diagnosis (DZCD) task from two aspects: cross-domain knowledge transfer and local adaptation. Firstly, we introduce a dynamic attention mechanism in the pre-training stage to generate source domain weights based on the semantics of the target domain questions, select highly relevant shared features, and suppress the noise interference from irrelevant domains. Secondly, we design an adaptive gating module to dynamically balance the fusion ratio of shared and specific features, relying on cross-domain knowledge in the early stage of cold start and gradually enhancing the local diagnostic ability as data accumulates. In addition, we optimize the simulated log generation strategy dynamically through the feedback of prediction errors, thereby improving the domain consistency of virtual data. Finally, we use the virtual data to make the cognitive state of the cold-start students as the diagnostic result, which is consistent with the diagnosis-oriented goal. Experimental verification shows that this framework exhibits better diagnostic accuracy and error control ability than mainstream methods in interdisciplinary scenarios, especially in STEM subject transfer.",Cognitive diagnosis; Cold start; Dynamic transfer,SPRINGER-VERLAG SINGAPORE PTE LTD,SINGAPORE,2025,C,English,http://dx.doi.org/10.1007/978-981-95-0020-8_7,16,0,0,0,0,"Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science
What Is Nuclear Cultural Heritage? Developing An Analytical Framework,"Mbah, M; Noka, V; Lampke, A; Kelly, R; Kuppler, S","Nuclear cultural heritage (NCH) is a relatively new approach. It was introduced by Rindzeviciute (2019) and is being discussed internationally with reference to its contribution to knowledge preservation of nuclear objects and practices as well as safety aspects, especially in the context of nuclear waste governance. The latter includes knowledge transfer to future generations in the sense that knowledge of nuclear objects and practices might be further developed and could be applied as well in future. This is particularly relevant as nuclear technology is hazardous to the living environment and endures for very long periods of time. The great impacts on landscapes and the living environment are demonstrated by experiences with nuclear accidents, nuclear weapon tests, the storage and disposal of nuclear wastes, and uranium mining. One reason for the upcoming interest in NCH is the decommissioning of nuclear power plants and siting and construction of nuclear waste repositories. With this article, we aim to provide an analytical framework for understanding, identifying and studying NCH. Firstly, we discuss the specificities of NCH in reference to cultural heritage and overlaps with or added values of related approaches. This includes energy cultures, sociotechnical and spatial imaginaries as well as concepts related to place and remembrance. We then specify four key elements as part of a broader conceptualization of NCH: temporality, spatiality, (im)materiality, and institutionalization. These are central to the analytical framework that is presented, in a final step, with notes on possible methodological approaches.",Nuclear cultural heritage; Energy culture; Imaginaries; Place attachment; Remembrance,ELSEVIER,AMSTERDAM,2025,J,English,http://dx.doi.org/10.1016/j.erss.2025.104050,101,1,1,6,7,Green & Sustainable Science & Technology; Environmental Studies,Social Science Citation Index (SSCI),Science & Technology - Other Topics; Environmental Sciences & Ecology
Overview Of Co2 Bioconversion Into Third-Generation (3G) Bioethanol-A Patent-Based Scenario,"Cardoso, LOB; Procópio, DP; Borrego, BB; Gracioso, LH; Stevani, C; Freire, RS; do Nascimento, CAO; Perpetuo, EA","The transport sector is responsible for 25% of greenhouse gas emissions, mainly carbon dioxide (CO2). Its emissions are the main driver of the worsening global climate change scenario. Finding feasible options to sequester this greenhouse gas is a great challenge for scientists, governments, and industry. Carbon capture, utilization, and storage (CCUS) are technologies that capture CO2 directly or indirectly by transforming it into other products of interest. In this context, biological CO2 conversion can be performed by photosynthetic microorganisms, such as microalgae and cyanobacteria, producing a wide variety of bio-based added-value products, such as third-generation (3G) bioethanol. However, the main obstacle to the spread of 3G bioethanol is economical, as it is still a recent and little-explored technology, lacking technical and scientific development for its production to become economically viable. Within this perspective, this work presents a patent-based mapping of current technological trends in 3G bioethanol production, which revealed that it is an emerging field with 171 patent deposits since 1979, with a tendency of at least 10 patents published per year in the last 15 years. The main drawbacks industries are focused on remain those from 2G bioethanol production, such as biomass hydrolysis. Therefore, with extensive cooperation between governments, scientists, and industries, it may be a matter of time before 3G bioethanol production becomes a reality. The presented data are expected to contribute to technical knowledge of 3G ethanol production, including the knowledge transfer from the academy to the industrial sector.",Biofuels; Ethanol; Microalgae; Cyanobacteria; Greenhouse gas,SPRINGER,NEW YORK,2023,J,English,http://dx.doi.org/10.1007/s12155-022-10535-w,81,10,10,3,22,Energy & Fuels; Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Energy & Fuels; Environmental Sciences & Ecology
Recent Advances And Future Perspectives Of Hvdc Development In Pakistan: A Scientometric Analysis Based Comprehensive Review,"Khalid, S; Raza, A; Yousaf, MZ; Mirsaeidi, S; Zhichu, C","Power generation in the global power sector has recently seen a paradigm shift from centralized bulk generation to distributed generation. In this regard, there are two transmission technologies available: high-voltage alternating current (HVAC) and high-voltage direct current (HVDC). The technical and economic benefits of HVDC transmission technology have enabled many countries to implement it widely for long-distance bulk power transmission, particularly between remote locations and densely populated areas. HVDC technology, however, is still relatively new in Pakistan. Despite this, HVDC technology holds great promise in Pakistan, specifically in utilizing and integrating distributed renewable energy sources with the national grid, as well as enabling cross-border energy trade. This study aims to provide a first-ever scientometric analysis of the HVDC technology field, highlighting key research themes and trends. A correlation is established between HVDC research and its adoption in Pakistan by extracting articles from the Scopus database and analyzing them with the VOS viewer, a modern data analysis tool. The scientometric analysis indicates a minimal contribution from Pakistani authors in the field of HVDC technology as compared to authors of the neighboring nations, highlighting a significant gap in knowledge transfer and technology adoption. Moreover, an overview of HVDC technology is provided, along with a comparison between HVAC and HVDC technologies. Last but not least, Pakistan's existing and proposed HVDC projects, prospects, and challenges associated with HVDC adoption are discussed.",TERMS HVDC; bulk power transmission; renewable energy; scientometric analysis,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2023,J,English,http://dx.doi.org/10.1109/ACCESS.2023.3283431,108,4,8,0,12,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering; Telecommunications
Unveiling The Digital Future: Perspectives Of Hungarian Physicians Under 35 Years Old On Ehealth Solutions,"Gyorffy, Z; Döbrössy, B; Boros, J; Girasek, E","Background The COVID-19 pandemic has catalysed the emergence of digital solutions in all areas of medicine. Our prior study on the digital health related experiences and opinions of Hungarian physicians highlights the crucial role of age in shaping attitudes towards digital health solutions among medical doctors. Our aim was to examine how under 35-year-old Hungarian physicians relate to digital technologies, the advantages and disadvantages they perceive, and how they would like to incorporate these technologies into their everyday medical practice.Methods As part of the E-physicians and E-patients in Hungary study, we conducted an online representative survey among medical practitioners in Hungary between July 2021 and May 2022 (n = 1,774). The main target group of our research were physicians under 35 years of age: n = 399 (25.3%). Besides descriptive statistical analyses, cluster analysis and binary logistic regression were applied to analyse the digital health related attitudes of the young age group.Results Our cluster analysis confirmed that younger doctors perceived more advantages (on average 7.07 items vs. 8.52 items) and disadvantages (on average 4.06 vs. 4.42) of digital health solutions. They also demonstrated greater familiarity with (8.27 vs. 9.79) and use of (1.94 vs. 2.66) a broader spectrum of technologies. Proficiency and active utilization of diverse technologies correlates with a more comprehensive understanding of both pros and cons, as well as a more realistic self-assessment of areas of further improvement. Doctors under 35 years express a notable demand for significantly increased incentives, both in terms of knowledge transfer/training and infrastructure incentives. Multivariate analyses revealed that young doctors, compared to their older counterparts, perceived enhanced patient adherence as one of the greatest benefits of digital health solutions. Additionally, young doctors expect that digital health solutions could reduce burnout.Conclusion Our results underscore the inevitable transformation of the 21st-century physician role: the success of digital health solutions hinges on active patient involvement and management, which requires proper patient education and professional support in navigating the digital space. Digital health solutions can be a bridge between different generations of doctors, where young people can help their older colleagues navigate the digital world.",digital health; young doctors; adherence; paradigm shift; participatory medicine; e-physcians; burnout,FRONTIERS MEDIA SA,LAUSANNE,2025,J,English,http://dx.doi.org/10.3389/fdgth.2024.1464642,55,0,0,0,0,Health Care Sciences & Services; Medical Informatics,Emerging Sources Citation Index (ESCI),Health Care Sciences & Services; Medical Informatics
Competence-Based Development In Education,"Pintér, É; Virág, A","The generations differ in their attitudes, talents, and knowledge. We can reach out to young people using focused and valuable professional communication. Soft skills and a foundation of professional competence are essential in education. Challenge-based learning is becoming increasingly crucial, as is taking advantage of the potential presented by digitalization and artificial intelligence. Financial culture continues to be a priority topic for development. Real, professional information is crucial for students; in addition to ability-based growth, a professional knowledge base is required. Learning through design thinking is important because, in addition to re-creating creativity, we must identify the source of every problem and create a solution to it. Creating the foundations for collaborative development is critical, and information transfer is insufficient; effective knowledge exchange is required. Novel educational techniques and platforms have highlighted the importance of transforming course design and evaluation mechanisms, as well as developing new reference values and educational technology frameworks. This has become the level of Education 4.0, with the goal of adapting to market needs and challenges and implementing a higher education concept in which a generation of competitive, highly qualified professionals emerges from the education system, capable of applying appropriate digital tools and channels to corporate and social challenges in order to find a solution. The literature incorporates modern technologies, an understanding of current social settings, and novel teaching approaches into this notion. The education system is built on heutagogic and connectivist principles. The instructor takes on a learning-supporting, collaborative role, and the student can use this to create his own knowledge. It is a difficult task, however, to determine which educational methodological aspects should be retained in the era of new living conditions, and which should be revised in order to connect with the digital and knowledge-sharing competence-based education system. The goal of the article is to categorize and examine these aspects in order to develop an effective and sustainable education system, as well as an effective knowledge transfer process. The article explores the literary history of the development of education and carries out a comparative analysis of the specialized literature, separating educational eras.",generation; competence-based learning; digitalization; educational technology,IKAM-INST KNOWLEDGE ASSET MANAGEMENT,MATERA,2024,C,English,,24,0,0,0,0,"Business; Computer Science, Interdisciplinary Applications; Information Science & Library Science",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Computer Science; Information Science & Library Science
The Status Of Aerial Photogrammetry In South Africa: A Transition To Digital Imagery System,"Ngcofe, L; Semoli, B","The digital image camera technology has revolutionized the aerial imagery capture throughout the world. It has provided high spatial and spectral resolution together with superior efficiency and reliability compared to the traditional analogue aerial imagery method. In so doing, this has provided great accuracy in various photogrammetric applications. The South African survey and mapping organisation currently known as Chief Directorate: National Geospatial Information (CD: NGI) has been capturing aerial photography dating back as early as the 1930s. However, from 2008 CD: NGI embraced a transition to digital aerial imagery capture at 50cm Ground Sample Distance (GSD) (from 2008 to 2016) and 25cm GSD (as from 2017 till date). This has resulted to 1370 digital aerial imagery already captured (this number will continue to change as there are jobs that are still being flown which are yet to be recorded). The continuous enhancement of digital camera technology opens for more possibilities of national aerial imagery capture at even greater spatial resolution such as 10cm GSD in the foreseeable future. However, the continuous digital imagery capture has not been without challenges such as the current global Covid-19 pandemic which has resulted in budget reprioritization, the organisation's technical knowledge transfer from one generation to another together with the determination of the CD: NGI requirement for digital imagery specifications. The organisation values stakeholders' engagement to ensure relevance, completeness and consistency on the data produced. This is possible through collaboration and partnership between State institutions, the private sector, research, and tertiary institutions through sharing of resources.",,CONSAS CONFERENCE,MOWBRAY,2022,J,English,http://dx.doi.org/10.4314/sajg.v11i1.3,17,1,1,0,1,Remote Sensing,Emerging Sources Citation Index (ESCI),Remote Sensing
