Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas,style,relevance
Population-Based Structural Health Monitoring Of Bridges: Review And Challenges,"Yu, Zhong-ru1; Shan, De-shan1; Sun, Rong-hui11 School of Civil Engineering, Southwest Jiaotong University, Chengdu 610031, Sichuan, China","To solve the practical challenges faced in bridge structural health monitoring (BSHM), such as data scarcity, label deficiency, large operational environment variations, and high monitoring computational costs, the framework of population-based structural health monitoring (PBSHM) was systematically reviewed and summarized. A brief overview of the fundamental concepts of PBSHM was provided by thoroughly analyzing relevant studies reported in recent years. The definitions of different structural population types, including homogeneous populations and heterogeneous populations, were elaborated on from three perspectives: geometry, material, and topology. Key issues that PBSHM aims to solve were also summarized. Research status in the field of PBSHM was reviewed and analyzed in detail from two aspects: structural similarity measurement, and knowledge transfer methods and applications under different population types. Specific application scenarios and solution approaches under this framework were summarized, and the functions and connections of different technical methods were analyzed. In light of the practical engineering problems faced in the field of BSHM, the challenges and potential solutions for PBSHM of bridges were discussed. Review results indicate that structural populations form the basis of the PBSHM framework. Utilizing indicators of structural mechanical behavior similarity and data distribution similarity can effectively determine the knowledge transferability among bridge population members. Explicit transfer methods show good performance in anomaly monitoring and feature alignment for bridge structural populations, while implicit transfer methods based on deep neural network models exhibit stronger adaptability, which can automatically extract more representative features, meeting the end-to-end requirements in practical BSHM applications. Based on leveraging knowledge transfer technology, the PBSHM framework shows great potential in addressing issues such as differences in complex operational conditions, data imbalance impacts, damage identification, data prediction and generation, feature alignment, and normalization in bridge structural health monitoring tasks.",Empty,Jiaotong Yunshu Gongcheng Xuebao = Journal of Traffic and Transportation Engineering; Xi'an,China,2025,Scholarly Journal,English; Chinese,https://doi.org/10.19818/j.cnki.1671-1637.2025.05.001,"ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Systematic Review,0.8
Enhancement Algorithm And Adaptive Generation Method Of Practical Writing For Cross-Domain Scenarios,"Zhai, Junlin1; Zhou, Zhuoying11 Wuhan Railway Vocational College of Technology,Wuhan,Hubei,China,430205","Conference Title: 2025 2nd International Conference on Telecommunications and Power Electronics (TELEPE) Conference Start Date: 2025 May 29 Conference End Date: 2025 May 31 Conference Location: Frankfurt, Germany With the increasingly frequent cross-disciplinary cooperation, practical writing faces many challenges, such as knowledge differences, diverse norms and different styles. In this paper, an enhancement algorithm and adaptive generation method of practical writing for cross-domain scenes are proposed, aiming to help writers cross domain barriers and achieve efficient and accurate writing. The overall framework of the algorithm covers four modules: data preprocessing, domain adaptation, text generation and post-processing. Among them, the domain adaptive module uses deep learning technology, pre-trained BERT model and CNN to extract domain features, and realizes knowledge transfer through domain adaptive technology and antagonistic training; Text generation module combines template and generation strategy, and introduces GPT language model to optimize text. The experiment takes legal documents and business mail data sets as examples, and the results show that the algorithm can effectively generate practical texts that meet the specifications and styles of the target domain.",Deep learning; Training; Adaptation models; Accuracy; Data preprocessing; Writing; Feature extraction; Power electronics; Telecommunications; Business; cross-domain scenarios; adaptive generation; enhancement algorithm; practical writing,"The Institute of Electrical and Electronics En gineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/TELEPE66277.2025.00074,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.6
Integrating Genai Into Corporate Knowledge Management: A Socio-Technical Approach To Overcoming Knowledge Management Challenges,"Kretschmer, Maria; Orth, Ronald","The growing importance of Artificial Intelligence (AI), especially Generative AI (GenAI), is revolutionising the way knowledge is handled and opening up enormous potential for corporate knowledge management (KM). The rapid development of Large Language Models (LLM) and complementary technologies such as Retrieval Augmented Generation (RAG) or knowledge graphs opens up new opportunities for corporate KM, but also presents companies with complex challenges and barriers. This study examines the integration of genAI into corporate KM, taking into account a holistic sociotechnical approach. A AI4KM survey was designed to capture the current state of AI use by asking companies about their use of AI technologies. The survey aims to gain insights into the practical implementation of AI solutions, particularly in relation to KM challenges. Based on the results of the AI4KM survey, a socio-technical TOP approach (Technology - Organisation - People) for the introduction of AI-based KM will be developed, which takes into account not only technical, but also organisational and people-related aspects. By addressing these three factors, the study aims to provide a comprehensive framework that ensures the successful adoption of AI technologies in diverse business environments. Specific recommendations for the development of an effective, holistic AI strategy in KM are developed for the various barriers. Among other things, the importance of human-machine interaction will be emphasised in order to create a seamless link between human expertise and machine intelligence. The results of these studies should help companies, especially small and medium-sized enterprises (SME), to effectively use genAI technologies for their KM, to counteract the loss of knowledge due to demographic change and to increase their competitiveness. The combination of theoretical findings and practical recommendations will build a bridge between research and business practice, contributing to the successful integration of AI into corporate KM and equipping companies for the challenges of the future.","Generative AI (GenAI), Corporate knowledge management, Knowledge management challenges, Socio-Technical approach, Human-Machine interaction",European Conference on Knowledge Management; Kidmore End,United Kingdom,2025,Conference Paper,English,Empty,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9
"Cheese Ek-Book: A New Web-Based Medium For Capitalising On, Structuring And Transferring Cheesemaking Knowledge And   Know-How","Baudrit, Cédric1    ; Fernandez, Christophe1; Couteaux, Julien2; Buche, Patrice3; Bel, Nadege4; Charles, Cecile4; Notz, Eric51 Univ. Bordeaux, CNRS, INRAE, INP, I2M, UMR 5295, USC 1368, Bordeaux, France2 DOCAMEX, Bordeaux, France3 IATE, INRAE, Institut Agro, Univ Montpellier, Montpellier, France4 ACTALIA, Unité Produits Laitiers, Pôle Technologie Fromagère, Annecy, France5 CTFC, Centre Technique des Fromages Comtois, Poligny, France","Purpose This paper aims to address the challenges faced by the cheese industry, particularly concerning the preservation and transfer of traditional cheesemaking knowledge. It emphasises the need for innovative solutions in sustainably managing knowledge and skills amidst changing demographic and technological landscapes. Design/methodology/approach Our approach consists of developing and implementing a digital tool, the cheese eK-Book, which is designed to capture, structure and disseminate cheesemaking knowledge. This tool is based on a semantic network and is accessible via smartphones and tablets and aims to facilitate continuous learning, knowledge transfer and collaboration across diverse stakeholders in the cheese production sector. Findings The study highlights several critical findings. Traditional cheesemaking knowledge is currently at risk due to a number of factors, including the ageing of skilled workers, a lack of succession planning and pressures from globalisation and industrialisation. The European dairy sector is evolving towards more specialised and automated production, requiring a skilled workforce capable of adapting to these changes. There is a significant gap between traditional cheese makers and research institutions, hindering the adoption of new technologies and best practices. The cheese eK-Book offers a promising solution to these challenges by preserving knowledge, supporting continuous learning and enhancing collaboration between industry stakeholders and educational/research institutions. The tool facilitates access to scientific knowledge, promotes work–life balance by offering a range of flexible learning opportunities and supports tailored training programmes based on individual users’ needs. Originality/value This article contributes original insights by proposing a comprehensive digital solution tailored to the specific, current needs of the cheese industry. By integrating modern technology with traditional knowledge, the cheese eK-Book not only preserves expertise but also fosters innovation and sustainability within the sector. It bridges the gap between practical cheesemaking skills and contemporary scientific understanding, addressing critical challenges such as knowledge retention, succession planning and workforce development in a rapidly evolving industry landscape. The strength of the Cheese eK-Book lies in its capacity to communicate knowledge, traditions and teachings across generations. This transfer of knowledge and skills plays a crucial role in preserving heritage and fostering connections across different generations within a community.",Empty,Journal of Documentation; Bradford,United Kingdom,2025,Scholarly Journal,English,https://doi.org/10.1108/JD-07-2024-0182,"ABI/INFORM Collection,ProQuest One Visual Arts & Design,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Social Sciences",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,1.0
Drivers Of Academic Engagement And University–Industry Collaboration In Conditions Of Slovakia,"Hrivnák, Michal; Jarábková, Jana","Universities have been perceived for several decades as an important development factor in the space that shapes the regional environment throughout the generation of new knowledge or technologies and the production of human capital. Our paper focuses on the less researched phenomenon of academic engagement, and thus, the development of university knowledge transfer based on interpersonal links between researchers and application actors from an academic perspective. This empirical study evaluates the results of a nationwide survey of academic researchers devoted to unhiding various aspects of formal and informal cooperation on an interpersonal basis. Using an econometric approach, the study investigates determinants of academic engagement of individual researchers and describes patterns of formal and informal ties between academics and businesses. The results explain which researchers participate in academic engagement activities and elaborate on the motivations and barriers of university–industry cooperation at the level of the individual. We also identified a significant volume of informal dissemination of knowledge of universities in the space via various channels.",university; academic engagement; university–industry collaboration; knowledge diffusion; Knowledge transfer; University; Industry; Slovakia,Administrative Sciences; Basel,Switzerland,2022,Scholarly Journal,English,https://doi.org/10.3390/admsci12040128,"ABI/INFORM Collection,ProQuest One Business,Publicly Available Content Database,Coronavirus Research Database,ProQuest One Social Sciences",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8
Beyond Seci Model: Custodian–Successor Roles In Tk Transfer In Construction Academia,"Tomiczak, Katarzyna11 Faculty of Management, Warsaw University of Technology, Poland","This paper presents the first results of a doctoral research project on the management of scientific tacit knowledge of employees with long scientific seniority (LSS), defined as 25+ years post-doctorate, focusing on knowledge transfer in the academic environment related to construction. The primary goal of this doctoral research is to create a model that supports the transfer of LSS tacit knowledge to other employees. The research question is: How should the tacit knowledge of LSSs be managed to preserve and pass their legacy on to younger generations? The SECI knowledge spiral model was adopted as the foundation for the development of the proposed model. However, the classical SECI framework has been extended by incorporating two critical roles: The Custodian, responsible for preserving, structuring, and documenting the tacit knowledge of LSS; and The Successor, an individual actively acquiring and applying tacit knowledge in practice, ensuring its continuity in scientific work. The model was developed based on a triangulated research approach combining an online survey, in-depth interviews, and an extended literature review. Thirteen research organisations participated in the study: six from Poland and seven from Europe. 52 completed surveys were obtained (100%) and 51 interviews were conducted (98%). The results were subjected to both qualitative and quantitative analysis. The proposed model operationalises tacit knowledge transfer through a structured process aligned with the SECI phases: socialisation, externalisation, combination, and internalisation, adapted to the realities of scientific institutions. It introduces mechanisms for actively acquiring and preserving knowledge through a combination of traditional methods such as mentoring and coaching, and modern technological solutions, ensuring that the legacy of experienced researchers remains accessible and functional for future generations. This study contributes by proposing a structured, role-based framework that enhances the practical applicability of tacit knowledge management in construction academia. The paper concludes by discussing the practical applications of the model and its potential for broader adaptation to knowledge-intensive institutions.","Tacit knowledge management, Long Scientific Seniority (LSS), Knowledge transfer, Construction academia, SECI model adaptation",European Conference on Knowledge Management; Kidmore End,United Kingdom,2025,Conference P aper,English,Empty,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,1.0
From Learner To Innovator: Knowledge Transfer From A Parent Mne And Foreign Subsidiaries’ Local Innovation,"Zhou, Nan1    ; Li, Jiatao2; Bai, Changhong3; Zhang, Dan41 Tongji University, School of Economics and Management, Advanced Institute of Business, Shanghai, China (GRID:grid.24516.34) (ISNI:0000 0001 2370 4535)2 Hong Kong University of Science and Technology, Management Department, School of Business and Management, Hong Kong, China (GRID:grid.24515.37) (ISNI:0000 0004 1937 1450)3 Nankai University, Business School, Tianjin, China (GRID:grid.216938.7) (ISNI:0000 0000 9878 7032)4 Patent Examination Cooperation (Beijing), CNIPA, Center of the patent office, Beijing, China (GRID:grid.216938.7)","Knowledge transfer from a parent multinational to a foreign subsidiary does not automatically lead to innovation in a host country. To develop from a learner into an innovator, a foreign subsidiary must develop sufficient absorptive capacity. But too much reliance on knowledge transferred from a multinational could hinder local innovation by generating resource constraints and organizational rigidity. We thus predict an inverted U-shaped relationship between knowledge transfer from a parent multinational and local innovation. Moreover, factors which influence the transition from learner to innovator were investigated using data on patent applications by foreign subsidiaries of 75 large multinationals in China between 2008 and 2016. The number of research and development centers the subsidiary maintains was found to be influential, as is hiring a local executive as the subsidiary’s top manager. Greater institutional distance between the parent’s and the subsidiary’s economies was found to promote the transition, as do greater technological richness and more vigorous competition in the host country. The relationship between knowledge transfer from a parent multinational and local innovation is weaker, however, in older subsidiaries.",Empty,Management International Review; Wiesbaden,Netherlands,2024,Scholarly Journal,English,https://doi.org/10.1007/s11575-023-00512-6,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Health & Nursing,ProQuest One Social Sciences",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8
Better Together? Examining Benefits And Tensions O F Generational Diversity And Team Performance,"Becker, Karin L1; Richards, Melanie B2; Stollings, Jessica31 U.S. Air Force Academy, Colorado Springs, USA2 East Tennessee State University, Johnson City, USA3 ReGenerations, Franklin, USA","Age is the most dominant form of diversity in the workplace. Five generations are currently represented in the workplace, with each one having their own perspectives and communication styles. Workplace teams are most likely to be comprised of members from multiple generations, yet research is inconclusive regarding how age diversity is impacting productivity and team performance. To examine preferences of working in teams comprising same generation or different generation members, a survey was disseminated to a sample of employees across various organizations in the current workforce, ages 18 and up. The survey examined perceptual generational differences regarding work ethic, communication styles, technology, culture and diversity, and other core values. Results indicate employees value generational diversity and believe generationally diverse teams increase team performance. However, findings indicate tensions are likely to occur when working in generationally diverse teams, including the ability to communicate and transfer knowledge. This research identifies the growing desire for generational diversity in the workforce and points out where investments in training and resources are needed to support knowledge transfer, optimize strengths, and ensure communication is heard and understood by all.",Generational diversity; Technology; Work ethic; Team; Diversity; Culture; intergenerational; team performance; millennials; workplace preferences,Journal of Intergenerational Relationships; Abingdon,United Kingdom,2022,Scholarly Journal,English,https://doi.org/10.1080/15350770.2020.1837708,"Sociological Abstracts,ProQuest One Psychology,ProQuest One Social Sciences",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8
Multidimensional Sustainability Assessment Of Rice Farming Systems Inbali: Atrihitakarana-Based Approach Fortraditional Agricultural Development,"Dewi, Ratna Komala1; Paramarta, Pande Made Ari Ananta21 Magisterof AgribusinessStudyProgram,FacultyofAgriculture,UdayanaUniversity,Bali, Indonesia2 Agribusiness Study Program, Faculty of Agriculture and Business, Dwijendra University, Bali, Indonesia","Tabanan Regency, Bali's primary rice-producing region, faces critical sustainability challenges including accelerated agricultural land conversion (2.92% annually) and demographic transitions with 70% of farmers exceeding 60 years of age. This study evaluates rice farming sustainability and develops evidence-based strategies grounded in the Tri Hita Karana (THK) philosophical framework. The research employed Multidimensional Scaling methodology through the Rapid Appraisal for Farm approach to assess sustainability across ecological, economic, social, technological, and institutional dimensions. Data were collected through structured interviews with 15 key informants and field observations in two subaks within the Yeh Empas irrigation system. Results indicate an overall sustainability index of 66.50% (moderately sustainable). Dimensional analysis revealed ecological (63.42%) and social (63.59%) as most vulnerable, while technological dimension achieved highest performance (71.42%). Leverage analysis identified five critical determinants: price stability (4.88), irrigation efficiency (4.53), intergenerational knowledge transfer (4.50),spatialplanningclarity(4.49),andawig-awigcontinuity(4.39).Monte Carlo validation confirmedmodelreliabilitywithdeviationsbelow2%. Five integrated strategies are proposed based on THK principles: institutional strengthening through spatial planning integration, youth engagement with traditional knowledge preservation, formal recognition of customary governance, market stabilization with digital cooperatives, and irrigation modernization with participatory management. This study contributes novel insights by demonstrating balanced sustainability in traditional systems, establishing economic centrality in multidimensional frameworks, and providing replicable methodology for integrating indigenous knowledge with scientific assessment.","sustainability assessment, rice farming, Tri Hita Karana, subak system, traditional agriculture, Bali",Lex Localis; Maribor,Slovenia,2025,Scholarly Journal,English,Empty,ProQuest One Social Sciences,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9
Metaclues: Constructivist Learning Via Progressive Clues From Generative Ai In A Metaverse Environment,"Hui, Echo G W1; Choy, Martin M T1; Cheung, William K W11 Hong Kong Baptist University,Department of Computer Science,Hong Kong,China","Conference Title: 2025 International Conference on Metaverse Computing, Networking and Applications (MetaCom) Conference Start Date: 2025 Aug. 27 Conference End Date: 2025 Aug. 29 Conference Location: Seoul, Korea, Republic of This paper introduces MetaClues, an AI-driven framework that integrates generative AI and Metaverse technology to deliver a constructivist learning experience. This innovative system combines image-to-3D generation, large language models, and text-to-image models to create progressive clues within a virtual campus. Learners engage in thematic zones, interact with AI-powered non-playable characters, and manipulate artifact items—creating, fusing, or exchanging them—to steer their own discovery process.At the heart of MetaClues is the goal of uncovering or recreating a secret artifact, a multidisciplinary item rich with educational significance. Learners follow progressive clues tied to a relevance score for each item they possess. This scoring system evaluates an item’s connection to the secret artifact across multiple dimensions, offering insights into its value. To unlock additional clues, learners must create, fuse, or exchange items, refining their understanding of the artifact based on these scores. This adaptive approach strikes a balance between structured, domain-specific learning and open-ended creativity, fostering active engagement.A pilot study with 19 participants showed notable improvements in participation, knowledge retention, and motivation to explore further. Impressively, 84% of novice learners gained a substantive understanding of multidisciplinary concepts. Evaluations using the System Usability Scale (SUS) and the Technology Acceptance Model (TAM) confirmed high usability and educational impact.Using generative AI as a collaborative tool, MetaClues aims to transform learners from passive recipients into creative problem solvers. Our research demonstrated how constructivist principles can be blended with generative AI and immersive technology to enrich multidisciplinary education.",Technology acceptance model; Generative AI; Metaverse; Refining; Pipelines; Text to image; Transforms; Sparks; Usability; Creativity; metaverse; constructivist learning; generative AI,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/MetaCom65502.2025.00061,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9
Interdisciplinary Integration Of Knowledge Construction Based On The Arcs Motivational Model In Ai-Driven Gamified Learning Environments,"Youyou1; Chen Zihan1; Huang Mengfang11 School of Art, Northwestern University,Shaanxi,China","Conference Title: 2025 5th International Conference on Artificial Intelligence and Education (ICAIE) Conference Start Date: 2025 May 14 Conference End Date: 2025 May 16 Conference Location: Suzhou, China The rapid advancement of artificial intelligence (AI) technology is fundamentally reshaping educational paradigms. AI-driven gamified learning environments demonstrate unique potential in facilitating interdisciplinary knowledge construction through two key mechanisms: (1) the strategic integration of game mechanics into pedagogical processes, and (2) the systematic application of AI capabilities to transcend traditional disciplinary boundaries. This study establishes a theoretical framework synthesizing gamification principles with interdisciplinary education theory, with particular emphasis on the ARCS (Attention, Relevance, Confidence, Satisfaction) motivation model and intelligent educational agents. Our proposed framework employs AI algorithms to generate adaptive learning scenarios and multimodal interaction systems designed to achieve dual objectives: cognitive engagement through attention-capturing mechanics and pedagogical alignment through personalized content delivery. The research further develops a three-phase implementation strategy for interdisciplinary knowledge integration within gamified contexts: (1) contextual bridging across disciplines, (2) schema reconstruction through problem-based challenges, and (3) meta-cognitive reinforcement via intelligent feedback systems. Empirical evidence from our experimental implementation reveals statistically significant improvements in both learner engagement metrics (p<0.01, Cohen's d=1.2) and knowledge transfer scores (p<0.05, η 2 =0.32), demonstrating the framework's efficacy in operationalizing motivation theory while addressing contemporary educational challenges. These findings not only advance theoretical understanding of technology-enhanced learning but also provide actionable insights for designing next-generation educational systems that effectively bridge disciplinary divides.",Analytical models; Adaptation models; Systematics; Computational modeling; Education; Data models; Natural language processing; Artificial intelligence; Next generation networking; Context modeling; Artificial Intelligence (AI); Gamified Learning; Interdisciplinary Integration; ARCS Motivation Model; Educational Technology,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/ICAIE64856.2025.11158629,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8
Resume Named Entity Recognition Based On Chatglm-9B Fine-Tuning,"Liu, Xin1; Qiu, Quantong1; Jiang, Ruiling1; Lv, Jian11 Jiangxi University of Finance and Economics,Nanchang,China","Conference Title: 2024 7th International Conference on Mechatronics and Computer Technology Engineering (MCTE) Conference Start Date: 2024 Aug. 23 Conference End Date: 2024 Aug. 25 Conference Location: Guangzhou, China Named Entity Recognition (NER) technology is a key technique for resume information extraction, and there are current issues with resume NER algorithms such as poor knowledge transfer ability, large model parameter volume, and long model training time. This paper proposes a new method based on Rora instruction fine-tuning of large language models combined with situation simulation. By introducing low-rank matrices to simulate the effect of full-parameter fine-tuning, and transforming the Resume dataset into a knowledge question-and-answer format that integrates situation simulation, the fine-tuned large language model is more suitable for the application scenarios of resume entity recognition. Experiments show that the F1 score on the Resume dataset that integrates situation simulation reached 95.14%. Compared to several models that perform well in the task of resume named entity recognition, the improvements were 5.72%, 4.38%, and 1.62% respectively, thereby validating that the method can effectively leverage the advantages of NLG (Natural Language Generation) language models in text generation to accomplish the task of named entity recognition.",Training; Solid modeling; Analytical models; Mechatronics; Computational modeling; Large language models; Natural language generation; Named entity recognition; Data models; Knowledge transfer; named entity recognition(NER); fine-tuning of model; large language model(LLM); scenario simulation,"The In stitute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2024,Conference Paper,English,https://doi.org/10.1109/MCTE62870.2024.11117835,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.4
"An Ai Chatbot For Enhanced Learning Through Speech, Summarization, And Interactive Quizzing","Suresh Dara1; Thiran Bhavani Naidu2; Valiveti, Varshini2; Gaddala, Nidhi Joyel2; Pandi, Geethika21 VIT-AP University,School of Computer Science and Engineering,Amaravati,India,5222412 VIT-AP University,Computer Science and Engineering,Amaravati,India,522241","Conference Title: 2025 6th International Conference on Recent Advances in Information Technology (RAIT) Conference Start Date: 2025 March 6 Conference End Date: 2025 March 8 Conference Location: Dhanbad, India The “An AI Chatbot for Enhanced Learning Through Speech, Summarization, and Interactive Quizzing” also known as AI Teacher, introduces a cutting-edge educational platform that enhances learning through the integration of advanced AI tools. This innovative solution combines text summarization, voice synthesis, and automated quiz generation to create a dynamic and engaging learning environment for students and educators alike. The first module utilizes the BART (Bidirectional and Auto-Regressive Transformers) model to distill complex or lengthy texts into clear, concise summaries. These summaries are further converted into speech, providing an auditory learning alternative that supports varied learning preferences and promotes accessibility. The second module focuses on deepening understanding through active engagement. It uses the Google Gemini API to transform the generated summaries into multiplechoice questions (MCQs). These quizzes facilitate knowledge reinforcement and self-assessment, allowing users to evaluate their grasp of the material. This automated process reduces the workload for educators while encouraging learners to interact more actively with the content. This article provides a unified solution that simplifies information processing, enhances comprehension, and supports personalized learning paths. By leveraging AI-driven tools, the platform fosters inclusive education, making learning more accessible and interactive. This paper a forward-thinking approach to educational technology, offering a robust framework for improved knowledge retention and engagement. It equips both educators and learners with the tools to achieve more effective, efficient, and enjoyable educational outcomes.",Text summarization; Transforms; Learning (artificial intelligence); Information processing; Speech enhancement; Chatbots; Transformers; Internet; Artificial intelligence; Information technology; AI Chatbot; Text Summarization; BART Model; Voice Output; Speech Synthesis; Quiz Generation; Google Gemini API; Multiple-Choice Questions; Educational Tool; Interactive Learning,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/RAIT65068.2025.11089260,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.7
Artificial Intelligence Ecosystem For Automating Self-Directed Teaching,Tejas Satish Gotavade,"This research introduces an innovative artificial intelligence-driven educational concept designed to optimize self-directed learning through personalized course delivery and automated teaching assistance. The system leverages fine-tuned AI models to create an adaptive learning environment that encompasses customized roadmaps, automated presentation generation, and three-dimensional modeling for complex concept visualization. By integrating real-time virtual assistance for doubt resolution, the platform addresses the immediate educational needs of learners while promoting autonomous learning practices. This study explores the psychological advantages of self-directed learning and demonstrates how AI automation can enhance educational outcomes through personalized content delivery and interactive support mechanisms. The research contributes to the growing field of educational technology by presenting a comprehensive framework that combines automated content generation, visual learning aids, and intelligent tutoring to create an efficient, scalable solution for modern educational needs. Preliminary findings suggest that this approach not only accommodates diverse learning styles but also strengthens student engagement and knowledge retention through its emphasis on self-paced, independent learning methodologies.",Artificial Intelligence; Computers and Society; Machine Learning,arXiv.org; Ithaca,United States,2024,Working Paper,English,Empty,"Publicly Available Content Database,ProQ uest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8
Need For Generational Shift In Teaching Methods And Its Application In Orthopedics: Why Medical Education Should Keep Up With Generationz,"Priyanshu1; Barik, Sitanshu1; Dubepuria, Amol1; Mohabey, Ankush1; Madegowda, Arkesh2; Das, Lakshmana S31 Orthopedics, AIIMS, Nagpur, India2 Orthopedics, AIIMS, Raipur, India3 Orthopedics, AIIMS, Bathinda, India","The rapid integration of Generation Z (GenZ) into medical education has highlighted the need for a transformative shift in teaching methodologies, particularly in specialized fields like orthopedics. As digital natives, GenZ learners-born between 1995 and 2010-exhibit distinct preferences for interactive, technology-driven, and self-directed learning, rendering traditional lecture-based models increasingly obsolete. This scoping review explores the pedagogical implications of GenZ's learning traits and advocates for a generational shift in orthopedic education to align with their cognitive styles and career aspirations. GenZ students thrive in environments that use digital tools such as virtual reality, augmented reality, and gamified platforms, which provide immersive, risk-free surgical simulations and improve procedural mastery. Microlearning techniques, including bite-sized videos and infographics support their shorter attention spans and improve retention of complex topics like fracture classifications and biomechanics. Collaborative learning strategies, such as team-based problem-solving and peer-teaching models, resonate with their preference for social interaction and teamwork. Additionally, adaptive learning systems powered by artificial intelligence offer personalized study plans, addressing individual strengths and weaknesses. The review demonstrates the importance of early clinical exposure and simulation-based training to bridge theory and practice, encouraging pragmatic, career-ready professionals. Educators, particularly millennials, must embrace digital fluency and mentorship to create learner-centered environments. By integrating these innovations-flipped classrooms, gamification, and on-demand resources-orthopedic education can lead to engagement, knowledge retention, and clinical preparedness. Ultimately, this generational shift is imperative to equip future orthopedic surgeons with the skills demanded by modern healthcare. Embracing technology, interactivity, and personalized learning will redefine training approaches, ensuring optimal educational outcomes and patient care for the next generation of medical professionals.The rapid integration of Generation Z (GenZ) into medical education has highlighted the need for a transformative shift in teaching methodologies, particularly in specialized fields like orthopedics. As digital natives, GenZ learners-born between 1995 and 2010-exhibit distinct preferences for interactive, technology-driven, and self-directed learning, rendering traditional lecture-based models increasingly obsolete. This scoping review explores the pedagogical implications of GenZ's learning traits and advocates for a generational shift in orthopedic education to align with their cognitive styles and career aspirations. GenZ students thrive in environments that use digital tools such as virtual reality, augmented reality, and gamified platforms, which provide immersive, risk-free surgical simulations and improve procedural mastery. Microlearning techniques, including bite-sized videos and infographics support their shorter attention spans and improve retention of complex topics like fracture classifications and biomechanics. Collaborative learning strategies, such as team-based problem-solving and peer-teaching models, resonate with their preference for social interaction and teamwork. Additionally, adaptive learning systems powered by artificial intelligence offer personalized study plans, addressing individual strengths and weaknesses. The review demonstrates the importance of early clinical exposure and simulation-based training to bridge theory and practice, encouraging pragmatic, career-ready professionals. Educators, particularly millennials, must embrace digital fluency and mentorship to create learner-centered environments. By integrating these innovations-flipped classrooms, gamification, and on-demand resources-orthopedic education can lead to engagement, knowledge retention, and clinical preparedness. Ultimately, this generational shift is imperative to equip future orthopedic surgeons with the skills demanded by modern healthcare. Embracing technology, interactivity, and personalized learning will redefine training approaches, ensuring optimal educational outcomes and patient care for the next generation of medical professionals.",Empty,Journal of clinical orthopaedics and trauma,India,2025,Scholarly Journal,English,https://doi.org/10.1016/j.jcot.2025.103139,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Systematic Review,0.9
